"Story","Title","Result","Date","Stability","Duration (s)"
"Spartan auth api post test","Editor","SUCCESS","2022-12-07T14:15:02.7477492+03:00[Asia/Istanbul]","0.0","3.43"
"Spartan auth api post test","Parameterization","SUCCESS","2022-12-07T14:15:06.1826676+03:00[Asia/Istanbul]","0.0","0.0"
